dimension,parameter,score,date_assessed,findings
C – Patient Experience,Physical Environment,2,25/05/2026,Branch environment varies by location; cleanliness is inconsistent and signage differs between branches.
C – Patient Experience,Registration & Consent Process,2,25/05/2026,New-patient registration is lengthy because the registration document is 2–3 pages.
C – Patient Experience,Follow-Up Call or Message,4,25/05/2026,Telecalling team is making regular follow-up calls to patients.
C – Patient Experience,Review Request System,4,25/05/2026,"Patient reviews are encouraged, but the review-request process is not yet fully structured and timely across branches."
C – Patient Experience,Re-booking and Retention,4,25/05/2026,"Basic follow-up exists, but a more structured patient-retention process is needed to improve repeat visits and long-term engagement."
D – Digital & Online Presence,Google Business Profile,3,22/05/2026,"Branch addresses, phone numbers, daily posts and therapy descriptions are available, but photos and Q&A are missing."
D – Digital & Online Presence,WhatsApp Business,2,22/05/2026,"Automation exists, but patients may wait to connect and customised replies can be delayed until the end of the day."
D – Digital & Online Presence,Online Review Volume & Quality,4,22/05/2026,"Positive and negative reviews are reportedly responded to properly, but review volume is low."
E – Brand Communication & Content,Content Strategy,3,25/05/2026,"A content calendar exists, but posting is repetitive and heavily focused on disease-related tips; the assessment recommends a more balanced mix of disease, therapy and patient-recovery content."
E – Brand Communication & Content,Patient Testimonials and Stories,4,25/05/2026,"Detailed patient-review videos exist, but they are not released on a regular schedule."
G – Competitive Position,Competitive Pricing Position,2,25/05/2026,The assessment states that Swasi pricing is higher than competitors.
G – Competitive Position,Competitive Response Readiness,4,25/05/2026,"Competitors are known, but there is no separate team/process monitoring competitor growth and changes."
H – Brand Equity & Measurement,Brand Equity Baseline,1,25/05/2026,"No documented baseline was found for brand-equity metrics such as NPS, awareness, referral rate, review rating and repeat visit rate."
